"año","CIF","CMUN","CMUNXL","DEGURBA","Eco_Afiliados_Tem_Porc_Resid","Eco_Afiliados_Total","Eco_Cap_Nec_Financ","Eco_Contratos_Indef","Eco_Contratos_Temp","Eco_Contratos_Total","Eco_Distrib_Renta_P80_20","Eco_Energ_Elect_PC","Eco_Establec_Hotel","Eco_Imp_Saldo_Nfinanc","Eco_Ind_RDBM_PC","Eco_Indice_Gini","Eco_Paro_100","Eco_Paro_Porc_Evol","Eco_PBI_municipal_pc","Eco_Pre_Deuda_Viva","Eco_Pre_Gastos_Liquidados","Eco_Pre_Ingresos_Liquidados","Eco_Renta_Neta_Media_PP","Eco_Uds_Productivas","Entidad","MA_Incendios","MA_Pelig_Incend_AltoExt","MA_Sup_Forestal_Arbol","MA_Sup_Forestal_Desarb","MA_Sup_Forestal_Total","MA_Sup_Protegida","MA_Sup_quemada","Municipio","NATCODE","Pob_Crecim_Relativo","Pob_Dependencia","Pob_Edad_Media","Pob_Empadronada","Pob_Empadronada_H","Pob_Empadronada_M","Pob_Envejecimiento","Pob_EV_65_H","Pob_EV_65_M","Pob_EV_65_Total","Pob_EV_H","Pob_EV_M","Pob_EV_Total","Pob_Grupo","Pob_Juventud","Pob_Saldo_Migratorio","Soc_Bibliot_públicas","Soc_Bienes_Cult","Soc_Cines_Proy","Soc_Ed_Bachiller","Soc_Ed_Cent_Priv_NoUni","Soc_Ed_Cent_Pub_NoUni","Soc_Ed_CiclosFormat","Soc_Ed_ESO","Soc_Ed_Especial","Soc_Ed_Infantil","Soc_Ed_Primaria","Soc_Ent_Credito","Soc_Mov_Auto_T","Soc_Mov_Est_Cercan","Soc_Mov_Gasolin","Soc_Mov_Hosp_T","Soc_Mov_Lin_Autob","Soc_Mov_Muni_5000_T","Soc_Mov_Turismos_Pub","Soc_Salud_Ambul","Soc_Salud_CentrosS","Soc_Salud_Consult","Soc_Salud_Def_Otras","Soc_Salud_Def_SistCirc","Soc_Salud_Def_SistResp","Soc_Salud_Def_Tumor","Soc_Salud_Discapacidad","Soc_Salud_Farmacia","Soc_Serv_Social_Centros","Soc_Teatros","Soc_Vivienda_Libre","Superficie","Terr_Zonas_Estad_CM"
"2001","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,3339.29,NA,NA,8031.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,59.86,56,32,24,48.21,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.57,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,0,33.33,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2002","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4245.28,NA,NA,9744.65,NA,NA,NA,NA,NA,211.99,161.26,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,59.42,53,29,24,47.17,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.77,-2,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2003","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4309.09,NA,NA,10643.66,NA,NA,NA,NA,NA,317.74,307.66,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,58.27,55,29,26,43.64,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.64,2,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2004","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4727.27,NA,NA,11482.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",0,0,57.02,55,29,26,41.82,NA,NA,NA,NA,NA,NA,"≤100 hab.",5.45,4,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2005","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4466.67,NA,NA,11820.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",9.1,9.1,59.4,60,30,30,48.33,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.33,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2006","P2800100F","001","28001","3-Rural",NA,NA,NA,502,73.96,1928,NA,4847.46,NA,NA,12133.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.7,-1.7,59.54,59,31,28,49.15,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.39,-1,0,NA,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2007","P2800100F","001","28001","3-Rural",NA,NA,NA,304,77.11,1328,NA,5189.66,NA,NA,12102.59,NA,3.45,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.69,-1.69,58.57,58,31,27,48.28,NA,NA,NA,NA,NA,NA,"≤100 hab.",5.17,-3,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2008","P2800100F","001","28001","3-Rural",NA,NA,NA,258,71.52,906,NA,4982.46,NA,NA,12246.97,NA,5.26,1.81,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.72,-1.72,59.12,57,30,27,49.12,NA,NA,NA,NA,NA,NA,"≤100 hab.",5.26,2,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2009","P2800100F","001","28001","3-Rural",NA,NA,NA,123,81.53,666,NA,4655.74,6,NA,12359.15,NA,1.64,-3.62,NA,0,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",7.02,7.02,58.98,61,33,28,47.54,NA,NA,NA,NA,NA,NA,"≤100 hab.",4.92,-1,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,50,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2010","P2800100F","001","28001","3-Rural",NA,NA,NA,148,75.29,599,NA,4677.97,7,NA,12611.01,NA,8.47,6.84,NA,0,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-3.28,-3.28,59.08,59,30,29,44.07,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.39,1,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,21.88,"SIERRA NORTE"
